,Date,Team,TeamRank,TeamRating,Score,Opponent,OppRank,OppRating,RatingDiff,GameTo15VictoryMargin
981,2020-03-07,Truman State,68,1296,"Score(team_a=9, team_b=4)",St Olaf,78.0,1239.0,57.0,8.333333333333334
985,2020-02-08,Towson,69,1291,"Score(team_a=14, team_b=10)",Maryland-Baltimore County,171.0,543.0,748.0,4.285714285714286
987,2020-02-08,Towson,69,1291,"Score(team_a=8, team_b=9)",Richmond,100.0,1075.0,216.0,-1.6666666666666667
988,2020-02-08,Towson,69,1291,"Score(team_a=10, team_b=5)",American,123.0,916.0,375.0,7.5
989,2020-02-09,Towson,69,1291,"Score(team_a=13, team_b=4)",Christopher Newport,226.0,-30.0,1321.0,10.384615384615383
991,2020-02-09,Towson,69,1291,"Score(team_a=15, team_b=6)",George Mason,137.0,820.0,471.0,9.0
993,2020-02-22,Towson,69,1291,"Score(team_a=10, team_b=5)",West Virginia,175.0,515.0,776.0,7.5
994,2020-02-22,Towson,69,1291,"Score(team_a=13, team_b=1)",Goucher,253.0,-826.0,2117.0,13.846153846153845
995,2020-02-22,Towson,69,1291,"Score(team_a=13, team_b=0)",SUNY-Buffalo,255.0,-924.0,2215.0,14.999999999999998
996,2020-02-23,Towson,69,1291,"Score(team_a=11, team_b=6)",MIT,133.0,844.0,447.0,6.8181818181818175
997,2020-02-23,Towson,69,1291,"Score(team_a=15, team_b=2)",Johns Hopkins,235.0,-171.0,1462.0,13.0
998,2020-02-23,Towson,69,1291,"Score(team_a=12, team_b=5)",Syracuse,119.0,930.0,361.0,8.75
999,2020-02-23,Towson,69,1291,"Score(team_a=9, team_b=6)",Lehigh,97.0,1082.0,209.0,5.0
1000,2020-02-29,Purdue,70,1291,"Score(team_a=7, team_b=8)",Tennessee,91.0,1118.0,173.0,-1.875
1002,2020-02-29,Purdue,70,1291,"Score(team_a=11, team_b=3)",Alabama-Huntsville,124.0,909.0,382.0,10.909090909090908
1003,2020-02-29,Purdue,70,1291,"Score(team_a=9, team_b=8)",Kentucky,92.0,1112.0,179.0,1.6666666666666667
1005,2020-03-01,Purdue,70,1291,"Score(team_a=10, team_b=13)",Kentucky,92.0,1112.0,179.0,-3.4615384615384612
1006,2020-03-01,Purdue,70,1291,"Score(team_a=8, team_b=4)",Georgia College,149.0,715.0,576.0,7.5
1007,2020-03-07,Purdue,70,1291,"Score(team_a=9, team_b=3)",Wisconsin-Oshkosh,220.0,23.0,1268.0,10.0
1008,2020-03-07,Purdue,70,1291,"Score(team_a=12, team_b=4)",Arkansas,188.0,403.0,888.0,10.0
1009,2020-03-07,Purdue,70,1291,"Score(team_a=11, team_b=7)",Iowa State,114.0,951.0,340.0,5.454545454545454
1010,2020-03-07,Purdue,70,1291,"Score(team_a=11, team_b=1)",Wisconsin-Milwaukee,152.0,701.0,590.0,13.636363636363635
1014,2020-03-08,Purdue,70,1291,"Score(team_a=12, team_b=3)",Iowa,135.0,831.0,460.0,11.25
1015,2020-03-08,Purdue,70,1291,"Score(team_a=8, team_b=4)",Colorado State,72.0,1278.0,13.0,7.5
1017,2020-01-25,Emory,71,1284,"Score(team_a=12, team_b=1)",Georgia Southern,193.0,332.0,952.0,13.75
1018,2020-01-25,Emory,71,1284,"Score(team_a=11, team_b=4)",Mississippi State,102.0,1066.0,218.0,9.545454545454545
1019,2020-01-25,Emory,71,1284,"Score(team_a=9, team_b=3)",Tulane,120.0,929.0,355.0,10.0
1020,2020-01-26,Emory,71,1284,"Score(team_a=7, team_b=3)",Auburn,90.0,1127.0,157.0,8.571428571428571
1022,2020-01-26,Emory,71,1284,"Score(team_a=4, team_b=9)",Clemson,82.0,1211.0,73.0,-8.333333333333334
